testyears,lengthy,stat,spanyearstart,spanyearend,slp,mag,lf
1948,10,SummerSDColor,1948,1957,-1.05365364801533,-10.5365364801533,10
1989,20,SummerMinColor,1989,2009,-0.591666666666667,-12.425,21
1947,20,SummerSDColor,1947,1966,-0.496350546199505,-9.9270109239901,20
1953,20,WinterMeanColor,1952,1975,0.494874721238358,11.8769933097206,24
1953,20,WinterMaxColor,1952,1986,0.65,22.75,35
1954,20,WinterMinColor,1948,1987,0.132456140350877,5.29824561403509,40
1968,20,WinterMaxColor,1968,1990,-1.07142857142857,-24.6428571428571,23
1947,30,SummerSDColor,1947,1976,-0.302181528111502,-9.06544584334506,30
1959,30,SummerSDColor,1957,1992,-0.157086996809174,-5.65513188513025,36
1952,30,WinterMeanColor,1948,2000,0.15823101141283,8.38624360487997,53
1948,30,WinterMaxColor,1948,1977,0.857142857142857,25.7142857142857,30
1947,30,WinterMinColor,1947,1976,0.153846153846154,4.61538461538462,30
1954,30,WinterMinColor,1948,1987,0.132456140350877,5.29824561403509,40
1947,40,SummerMaxColor,1947,1986,-0.766968325791855,-30.6787330316742,40
1957,40,SummerSDColor,1948,2000,-0.208147144982852,-11.0317986840912,53
1947,40,WinterMeanColor,1947,1986,0.30566632231405,12.226652892562,40
1952,40,WinterMeanColor,1948,2000,0.15823101141283,8.38624360487997,53
1964,40,WinterMaxColor,1964,2009,-0.428571428571429,-19.7142857142857,46
1947,40,WinterMinColor,1947,1986,0.137626262626263,5.50505050505051,40
